iter	Logloss
0	0.6639936919
1	0.6397460596
2	0.6207558383
3	0.6003293492
4	0.5748617171
5	0.561363709
6	0.5440190532
7	0.5330000791
8	0.5197701007
9	0.5089778852
10	0.4937769984
11	0.4777890793
12	0.4649492289
13	0.4535924837
14	0.4477556594
15	0.4385649063
16	0.4313405191
17	0.4205824051
18	0.4104640465
19	0.4039147836
20	0.3948965251
21	0.3865603318
22	0.3792059645
23	0.3701861483
24	0.363828562
25	0.3522864333
26	0.345336872
27	0.3381558446
28	0.3333070377
29	0.3252425262
30	0.3187423292
31	0.3143756953
32	0.3101136828
33	0.3048065157
34	0.2998025675
35	0.295996363
36	0.2920857264
37	0.2864851886
38	0.2802479222
39	0.2754723694
40	0.2711212481
41	0.2659253329
42	0.2627296976
43	0.2569612185
44	0.2537427689
45	0.250773454
46	0.2479134878
47	0.2449336636
48	0.242297949
49	0.2393006065
50	0.2367203959
51	0.2328269393
52	0.2291769126
53	0.2247259189
54	0.2215780172
55	0.2179688604
56	0.2139793862
57	0.2114004599
58	0.2079069601
59	0.2043935287
60	0.202211109
61	0.2001685866
62	0.1972270171
63	0.1940871814
64	0.1918237999
65	0.1895196313
66	0.1860976551
67	0.1823166299
68	0.1791218524
69	0.1775543479
70	0.1759614959
71	0.1741371994
72	0.1721446461
73	0.1709830467
74	0.1688942844
75	0.1665136625
76	0.1641408758
77	0.1609727583
78	0.1595251981
79	0.1565538603
80	0.1549897633
81	0.1536117415
82	0.1512715851
83	0.1501167325
84	0.1478507589
85	0.1459501432
86	0.1447796867
87	0.1417361593
88	0.1381342066
89	0.1365172432
90	0.1350054657
91	0.1327390249
92	0.1311387935
93	0.1298167167
94	0.1280955401
95	0.126160483
96	0.1248016954
97	0.1225629096
98	0.1211974555
99	0.1196984802
100	0.1181098803
101	0.1162542682
102	0.1153611659
103	0.1142800298
104	0.1133683117
105	0.112601961
106	0.1116275019
107	0.1095970077
108	0.1086168542
109	0.1067667279
110	0.1056993376
111	0.1048441448
112	0.1038783667
113	0.1029055513
114	0.1017421849
115	0.09997893708
116	0.09943512235
117	0.09849985045
118	0.09690901191
119	0.09547673019
120	0.09462902608
121	0.09303305447
122	0.09205019271
123	0.0916258733
124	0.09018840818
