iter	Passed	Remaining
0	3	1602
1	5	1362
2	7	1236
3	9	1188
4	12	1199
5	14	1200
6	16	1171
7	18	1151
8	20	1139
9	22	1124
10	25	1117
11	27	1108
12	29	1096
13	31	1090
14	33	1090
15	35	1081
16	37	1079
17	39	1068
18	41	1062
19	44	1058
20	46	1054
21	48	1046
22	50	1042
23	52	1037
24	54	1041
25	62	1146
26	67	1178
27	69	1178
28	71	1168
29	73	1157
30	76	1151
31	78	1142
32	80	1133
33	82	1126
34	84	1126
35	86	1120
36	89	1114
37	91	1111
38	94	1114
39	96	1107
40	98	1101
41	100	1097
42	102	1094
43	104	1087
44	107	1084
45	109	1082
46	111	1076
47	113	1073
48	116	1072
49	119	1071
50	121	1067
51	123	1066
52	126	1063
